,F_value,pvalue,value_counts,subsystem,name,genes,reaction,alleles_sim
2MID,inf,0.0,"[(0.9999999999999999, 33), (1.0, 1)]",Propanoate Metabolism,,['Rv1475c'],2mcacn_c + h2o_c --> micit_c,
COBC,inf,0.0,"[(0.9999999999999998, 31), (0.9999999999999997, 2), (0.9999999999999996, 1)]",Cofactor and Prosthetic Group Biosynthesis,MNXR85327,['Rv2231c'],adcobhex_c + appl_c --> adocbi_c + h2o_c,
CYTK2,32.0,2.9377511250657722e-06,"[(0.9846153846153846, 34)]",Purine and Pyrimidine Biosynthesis,cytidylate kinase (dCMP),['Rv1712'],atp_c + dcmp_c <=> adp_c + dcdp_c,
CHOLCOA,32.0,2.9377511250657722e-06,"[(0.9999999999999579, 15), (0.9999999999999662, 5), (0.9999999999999496, 3), (0.9999999999999578, 2), (0.99999999999996, 1), (0.9999999999999537, 1), (0.9999999999999551, 1), (0.9999999999999329, 1), (0.9999999999999575, 1), (0.9999999999999413, 1), (0.9999999999999829, 1), (0.9999999999999634, 1), (0.9999999999999529, 1)]",Cholesterol degradation,MNXR87732,['Rv3573c'],cholc5coa_c + fad_c --> cholenec5coa_c + fadh2_c,
ATPPRT,16.06897688991508,0.0003418578150896735,"[(0.5, 24), (0.75, 5), (0.25, 4), (0.5625, 1)]",Histidine Metabolism,ATP phosphoribosyltransferase,['Rv2121c'],atp_c + prpp_c --> ppi_c + prbatp_c,
CHCD,16.0,0.0003502341484732759,"[(0.9999999999999984, 22), (0.9999999999999969, 6), (0.9999999999999953, 2), (1.0, 2), (0.9999999999999989, 1), (0.9999999999999983, 1)]",Cholesterol degradation,MNXR22345,[],hipohcoa_c + nad_c --> h_c + hipocoa_c + nadh_c,
CYSO_II,14.493873384091964,0.000600250654828063,"[(0.999999999999999, 14), (0.9999999999999987, 5), (0.9999999999999993, 2), (0.9999999999999983, 2), (0.8570320034389145, 1), (0.9999999999999989, 1), (0.047560224234770576, 1), (0.047811284912492535, 1), (0.8562074642174046, 1), (0.9999999999999988, 1), (0.7710244963070672, 1), (0.8619145597679703, 1), (0.03581797960711175, 1), (0.0, 1), (0.03860471927225828, 1)]",Cysteine and methionine metabolism,CysO Sulfuration by MoeZ,['Rv3206c'],cysOamp_c + h2s_c --> amp_c + cysOsh_c,
PGL,14.242312146797884,0.0006580609868631448,"[(0.9999999999999934, 20), (0.9999999999999938, 5), (0.9999999999999931, 3), (0.9999999999999933, 2), (0.999999999999994, 1), (0.013970264279534073, 1), (0.28381263469448237, 1), (0.02893637758656864, 1)]",Pentose Phosphate Pathway,6-phosphogluconolactonase,['Rv1445c'],6pgl_c + h2o_c --> 6pgc_c + h_c,
MTHFR2,13.681531946792346,0.0008094827179631055,"[(0.45493562231759654, 4), (0.5205203862660944, 1), (0.5236051502145922, 1), (0.14592274678111583, 1), (0.4678111587982832, 1), (0.6695278969957081, 1), (0.38720493562231756, 1), (0.8240343347639485, 1), (0.05150214592274677, 1), (0.5965665236051502, 1), (0.7296137339055794, 1), (0.45171673819742486, 1), (0.45359442060085836, 1), (0.5665236051502146, 1), (0.7639484978540773, 1), (0.4260997854077253, 1), (0.4541309012875536, 1), (0.5364806866952789, 1), (0.21030042918454933, 1), (0.32188841201716734, 1), (0.4498390557939914, 1), (0.45775214592274677, 1), (0.1802575107296137, 1), (0.592274678111588, 1), (0.03862660944206009, 1), (0.6051502145922747, 1), (0.4560085836909871, 1), (0.3948497854077253, 1), (0.5150214592274678, 1), (0.3991416309012875, 1), (0.7210300429184548, 1)]",Folate Metabolism,"5,10-methylenetetrahydrofolate reductase (NADH)",[],2.0 h_c + mlthf_c + nadh_c --> 5mthf_c + nad_c,
GTPDPDP,12.8,0.0011278727736342864,"[(0.3333333333333333, 34)]",Purine and Pyrimidine Biosynthesis,"guanosine-5'-triphosphate,3'-diphosphate diphosphatase",[],gdptp_c + h2o_c <=> h_c + pi_c + ppgpp_c,
