,F_value,pvalue,value_counts,subsystem,name,genes,reaction,alleles_sim
INDPYRD,13.5,0.0010407853299258798,"[(0.009523809523809523, 29)]",Pyruvate Metabolism,Indole 3 pyruvate decarboxylase,['Rv0853c'],h_c + indpyr_c <=> co2_c + id3acald_c,
IPPS,10.292386112100163,0.0034285741915609227,"[(0.5918367346938775, 5), (0.42857142857142855, 3), (0.2857142857142857, 2), (0.11224489795918369, 2), (0.6122448979591837, 1), (0.6224489795918366, 1), (0.5612244897959183, 1), (0.5306122448979592, 1), (0.4693877551020408, 1), (0.22448979591836737, 1), (0.36734693877551017, 1), (0.12244897959183676, 1), (0.6428571428571428, 1), (0.5510204081632653, 1), (0.4897959183673469, 1), (0.7142857142857142, 1), (0.7040816326530612, 1), (0.6326530612244898, 1), (0.25510204081632654, 1), (0.4489795918367347, 1), (0.5204081632653061, 1)]","Valine, Leucine, and Isoleucine Metabolism",2-isopropylmalate synthase,['Rv3710'],3mob_c + accoa_c + h2o_c --> 3c3hmp_c + coa_c + h_c,
ACCOAC,10.05820962679796,0.003758475815070287,"[(0.03371423926593409, 2), (4.451883306444415e-12, 2), (0.24888172887315071, 1), (4.442446410735101e-12, 1), (0.7970220741649658, 1), (0.033714239265933144, 1), (4.450939616873484e-12, 1), (4.442501921886333e-12, 1), (0.9019257044012468, 1), (0.24888172887532786, 1), (0.03371423926593506, 1), (0.24888172887309457, 1), (0.8043651453417675, 1), (0.03371423926593034, 1), (0.7519087399189832, 1), (4.452882507166578e-12, 1), (0.7519087399189874, 1), (0.797022074165153, 1), (0.8027726561451607, 1), (0.8027726561450925, 1), (0.7231647633918978, 1), (1.0, 1), (0.9019257044012423, 1), (0.7319666427380798, 1), (0.7267529461929767, 1), (0.7319666427380779, 1), (0.7970220741651497, 1)]",Pyruvate Metabolism,Acetyl-CoA carboxylase,"['Rv3285', 'Rv2247']",accoa_c + atp_c + hco3_c <=> adp_c + h_c + malcoa_c + pi_c,['Rv2247']
MCD,9.860751642124125,0.004063488137024699,"[(0.9502669962942742, 2), (0.6328662246624428, 1), (0.9999999999934479, 1), (0.21619069308781388, 1), (0.9999999999934363, 1), (0.9999999999934436, 1), (0.11302612039631907, 1), (0.6328662246610671, 1), (0.9502669962942736, 1), (0.9502669962942747, 1), (0.6328662246625308, 1), (0.15090223890489624, 1), (0.9502669962942762, 1), (0.26055615346174693, 1), (0.9999999999934317, 1), (0.26055615346174393, 1), (0.21619069308865646, 1), (0.0881575172366286, 1), (0.0881575172366943, 1), (0.22468167937011113, 1), (0.9999999999934324, 1), (0.0, 1), (0.9999999999934327, 1), (0.11302612039633106, 1), (0.15778973206798885, 1), (0.22115298027187566, 1), (0.15778973206799185, 1), (0.2161906930886618, 1)]",Fatty Acid Metabolism,Malonyl-CoA Decarboxylase cytoplasmic,"['Rv3280', 'Rv3799c', 'Rv3285', 'Rv3281', 'Rv2247']",h_c + malcoa_c --> accoa_c + co2_c,"['Rv2247', 'Rv3280']"
G1PACT,9.674319390295226,0.00437626517023376,"[(0.5862068965517241, 3), (0.5172413793103449, 3), (0.7931034482758621, 3), (0.48275862068965514, 2), (0.4482758620689655, 2), (1.0, 2), (0.6379310344827587, 2), (0.7586206896551724, 2), (0.8275862068965517, 1), (0.13793103448275862, 1), (0.3793103448275862, 1), (0.6896551724137931, 1), (0.6724137931034483, 1), (0.5517241379310345, 1), (0.0, 1), (0.41379310344827586, 1), (0.3103448275862069, 1), (0.3448275862068966, 1)]",Alternate Carbon Metabolism,glucosamine-1-phosphate N-acetyltransferase,[],accoa_c + gam1p_c --> acgam1p_c + coa_c + h_c,
EX_phdca,9.57196475036732,0.004559029672016529,"[(2.9973281344560585e-14, 8), (0.623330275946355, 1), (0.8167490328171876, 1), (0.990202136289949, 1), (0.0, 1), (0.9902021362899511, 1), (0.9242491150759513, 1), (0.816749032817127, 1), (0.4651119337621963, 1), (0.5986917836804289, 1), (0.9902021362918404, 1), (0.5676001880025444, 1), (0.9109397114456574, 1), (0.046229926757713355, 1), (0.9999999999999419, 1), (0.04622992675772035, 1), (6.393056109811701e-14, 1), (6.734232379081487e-15, 1), (0.8167490328171096, 1), (0.8167490328171491, 1), (3.0732206620168345e-14, 1), (3.138462618809668e-14, 1)]",Exchange,,[],phdca_e --> ,
PHEt2r,9.0,0.005745712642685752,"[(0.5777777777777777, 29)]",Transport,L-phenylalanine reversible transport via proton symport,[],h_e + phe__L_e <=> h_c + phe__L_c,
MMSAD2,8.602888831853573,0.006765786832277667,"[(0.7448979591836734, 4), (0.7142857142857142, 3), (0.7244897959183673, 2), (0.7959183673469387, 2), (0.6632653061224488, 2), (0.8061224489795917, 2), (0.7551020408163264, 2), (0.846938775510204, 1), (0.5714285714285714, 1), (0.7755102040816325, 1), (0.8163265306122448, 1), (0.4693877551020407, 1), (0.7806122448979591, 1), (0.6428571428571428, 1), (0.8265306122448979, 1), (0.693877551020408, 1), (0.6020408163265305, 1), (0.6326530612244897, 1), (0.7040816326530611, 1)]",Cholesterol degradation,methylmalonate-semialdehyde dehydrogenase (propanol),['Rv3535c'],coa_c + nad_c + ppal_c --> h_c + nadh_c + ppcoa_c,
ORNTAC,8.477694974742715,0.007127028953563336,"[(0.3333333333333333, 19), (0.6666666666666666, 4), (0.16666666666666666, 2), (0.0, 2), (0.5, 1), (1.0, 1)]",Arginine and Proline Metabolism,Ornithine transacetylase,['Rv1653'],acorn_c + glu__L_c <=> acglu_c + orn_c,
FAS181,8.327918504727837,0.0075870498382400176,"[(0.18078177707097814, 1), (0.2917347600338783, 1), (0.9228730044911805, 1), (0.054856579602735156, 1), (0.9228730044911799, 1), (0.29173476003387666, 1), (0.9999999999983827, 1), (0.023678796883251807, 1), (0.1807817770700077, 1), (0.7911987059358819, 1), (0.9228730044918613, 1), (0.3491324430126476, 1), (0.03512549183196012, 1), (0.9228730044913019, 1), (0.18907995357531632, 1), (0.9999999999983981, 1), (0.18907995357532742, 1), (0.05485657960287879, 1), (0.18451382169376385, 1), (0.18451382169382208, 1), (0.05742267490526595, 1), (0.2917347600338752, 1), (0.3141355185922301, 1), (0.2917347600338702, 1), (0.023678796883237596, 1), (0.037206988994384335, 1), (0.05635625248042869, 1), (0.03720698899438596, 1), (0.054856579602881844, 1)]",Fatty Acid Metabolism,Fatty acid synthase  n C181 ,"['Rv2524c', 'Rv2947c', 'Rv1484', 'Rv1350']",4.0 h_c + hdca_c + malcoa_c + 3.0 nadph_c + o2_c --> co2_c + coa_c + 3.0 h2o_c + 3.0 nadp_c + ocdcea_c,['Rv1484']
